Zeros,Poles,k
(0.7336730721409802-0.5826344522196893j),0.0,0.0
(0.7184643644569393-0.6006481965962761j),0.0,0.0
(0.6033793160647523+0.8862220649127611j),0.0,0.0
(0.5810806179618937+0.9013914706678594j),0.0,0.0
(0.12897971869455693-1.0695890685022085j),0.0,0.0
(0.02097092946241456-1.078031152041972j),0.0,0.0
(0.10207398908998412-1.0727212833315696j),0.0,0.0
(0.04805230968814398-1.0769437863420275j),0.0,0.0
(0.075092429467139-1.0751734156436301j),0.0,0.0
(0.8605029718542819+0.383561232773605j),0.0,0.0
(0.8499763282941853+0.40484917744493365j),0.0,0.0
(0.7028261154437997-0.618273811437982j),0.0,0.0
(0.5583971598029672+0.9159925912934542j),0.0,0.0
(0.5353437572765524+0.9300159572023189j),0.0,0.0
(0.5119354337736994+0.9434524709198375j),0.0,0.0
(0.8389582527923073+0.425860565587983j),0.0,0.0
(0.6867671501326729-0.6355008448837617j),0.0,0.0
(0.6702966541788261-0.652319047573934j),0.0,0.0
(0.6534241558402911-0.6687183848561542j),0.0,0.0
(-0.006134392401860835-1.078434705766215j),0.0,0.0
(-0.03324632876103076-1.0781540773876008j),0.0,0.0
(-0.06034755495226494-1.0771893337472869j),0.0,0.0
(-0.08742075967600771-1.0755409785598107j),0.0,0.0
(-0.11444865581060322-1.0732099520642118j),0.0,0.0
(-0.2217628670569357-1.057093167641798j),0.0,0.0
(-0.14141399123699316-1.0701976302742444j),0.0,0.0
(-0.1950882122372068-1.0621367775867048j),0.0,0.0
(-0.1682995597989042-1.0665058239842906j),0.0,0.0
(0.48818741331443033+0.9562934126895347j),0.0,0.0
(0.46411511302290026+0.9685304458534765j),0.0,0.0
(0.8274520601306355+0.44658408474058986j),0.0,0.0
(0.8154618962550086+0.467008348014626j),0.0,0.0
(0.8029926383311884+0.4871219494632602j),0.0,0.0
(0.790049815880044+0.5069135083848847j),0.0,0.0
(0.6361595096291148-0.68468904797287j),0.0,0.0
(0.6185128813075036-0.700221464382164j),0.0,0.0
(0.6004947339695721-0.7153063073342976j),0.0,0.0
(-0.24830652131373782-1.0513781010995567j),0.0,0.0
(-0.6850612110833615-0.8397321355544373j),0.0,0.0
(-0.274702261485822-1.0449951131822914j),0.0,0.0
(-0.3009332743518194-1.0379481651136298j),0.0,0.0
(-0.3269828577470435-1.030241641576239j),0.0,0.0
(-0.35283443130470754-1.021880347822766j),0.0,0.0
(-0.3784715472454712-1.0128695065994728j),0.0,0.0
(-0.40387790099841303-1.0032147548458499j),0.0,0.0
(-0.4290373417988267-0.9929221400734085j),0.0,0.0
(-0.45393388320119826-0.9819981164818383j),0.0,0.0
(-0.47855171362329324-0.9704495407694751j),0.0,0.0
(-0.5028752068798902-0.9582836678106273j),0.0,0.0
(-0.5268889325595074-0.9455081461520788j),0.0,0.0
(-0.5505776662468282-0.9321310132023224j),0.0,0.0
(-0.5739263997696874-0.9181606900201363j),0.0,0.0
(-0.6417859780425695-0.8727804327242007j),0.0,0.0
(-0.6195449769406686-0.8884760437017223j),0.0,0.0
(-0.5969203515862889-0.9036059760493438j),0.0,0.0
(0.4397341352297909+0.9801556220166534j),0.0,0.0
(-0.6636293140658305-0.8565290444270653j),0.0,0.0
(0.41506025929455154+0.9911613859830329j),0.0,0.0
(0.3901094331214437+1.0015405803800808j),0.0,0.0
(0.36489776437198157+1.0112864500668788j),0.0,0.0
(0.7766395475698924+0.5263717054643702j),0.0,0.0
(0.7627684897916627+0.5454853127957661j),0.0,0.0
(0.7484437941983588+0.5642432192465776j),0.0,0.0
(0.582115815001794-0.7299345047990156j),0.0,0.0
(-0.7060681721897821-0.8224003118993982j),0.0,0.0
(-0.7266369877591311-0.8045445219870709j),0.0,0.0
(-0.7467547455348845-0.7861760507300105j),0.0,0.0
